MAGDP2 Gross domestic product (GDP) by metropolitan area 1/,,,,,,,,,,,,,,,,,,
Gross domestic product (GDP) by metropolitan area: All industry total (Millions of current dollars) ,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",7449.8,7946,8479,8735.4,8882.8,8898.3,8818.5,8822.1,8987.4,9255.3,9599.1,10192.9,9963.7,10192.3,10766.3,11152.8,11500.7
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",23855.3,25570.4,28985.7,32649.4,39988.2,40213,40228.6,41580.3,40973,45300.8,49470.9,51670,48361.6,51027.1,51979.6,53357.4,54987.7
12980,"Battle Creek, MI (Metropolitan Statistical Area)",4195.5,4609.5,4681.8,4783.2,4924.5,4852.6,4876.1,4979.8,4944.3,5316.5,5157.7,5350.3,5588.4,5624.3,5860.3,6027,6153.9
13020,"Bay City, MI (Metropolitan Statistical Area)",2593.4,2720.5,2777.4,2765.7,2806.6,2946.1,2939.4,2903.6,2958.3,3027.3,3039.1,3116,3156.7,3093.8,3188.2,3270.5,3251
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",11664.6,11765.1,13017.9,15735.6,15933.4,17325.5,19215.3,17818.3,18664.8,21097,21802.8,23333.5,23733.7,24502.6,25053.1,24461.5,25021.6
13220,"Beckley, WV (Metropolitan Statistical Area)",2751.2,2811.1,2734.4,2922.3,3214.2,3448.5,3397,3705.4,3521,3902.6,4664.8,4346.1,4235.7,4224.3,4033.1,3952.6,4477.5
13380,"Bellingham, WA (Metropolitan Statistical Area)",4878.3,5293.1,5848.4,6383,8340.9,7835.1,8213.8,8293.4,8849.2,9714,9520.5,9609.7,10047,9619.3,10223.8,10428.6,11313.9
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",4232.8,4656.2,4936.5,5113,5680.5,6382,6381,6187.2,5770.5,5762.8,6063.6,6421.1,6882.5,7584.2,8421.4,9548,10149.8
13740,"Billings, MT (Metropolitan Statistical Area)",4374.1,4492.4,5024.3,5528.4,6096.1,6420.4,7539.1,7317.2,6694.8,7345,8530.6,8762.1,8959.5,10035.1,10103.9,9500.4,9672.1
13780,"Binghamton, NY (Metropolitan Statistical Area)",6751.9,6907,6947.1,7187,7578.2,7901.7,8414.9,8630.6,8779.4,8965.4,9007.8,9032.4,9118.5,9094.5,9250.1,9408.1,9626.1
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",38831.2,40960.6,42590.5,45813.9,48328.6,50111.2,52588.7,53167.3,50637.3,52305,54416.7,57609.5,57698.6,58971.9,61259.2,62402.9,64553.2
13900,"Bismarck, ND (Metropolitan Statistical Area)",3145.3,3261.3,3546.4,3756,4035.8,4234.6,4471.9,4735.2,4853.4,5229.2,5642.5,6463.8,6863.2,7680.5,8135,7891.9,7997.5
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",4290.8,4371,4672.9,4787,5084.1,5319.8,5690.5,5408.6,5421.9,5507.6,5660.2,6271.1,6335.1,6650.9,6991.1,7080.5,7217.9
14010,"Bloomington, IL (Metropolitan Statistical Area)",7202.6,7426.8,7804.9,8383.9,8343.3,9095.8,9314.1,9165.1,9636.3,9998.7,10259.4,10753.1,11248.7,11673.6,12052.9,12445.8,12369.6
14020,"Bloomington, IN (Metropolitan Statistical Area)",4082.5,4383.7,4526,4792.7,5050.3,5435.1,5578.2,5851.8,6231.8,6342.6,6412.5,6384.2,6192.2,6392.5,6651.4,6975.9,7425.3
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",2182.8,2332.7,2327.9,2467.2,2556.7,2739.3,2892.8,2962.6,3071.7,3211.6,3334.3,3429.5,3603.6,3594.5,3880,3950.3,4049
14260,"Boise City, ID (Metropolitan Statistical Area)",17208.4,17882.4,18900.6,20328.3,22244.1,24152.8,25224.1,25133.8,24224.8,25019.5,25311.3,26052.4,27715.1,29103.3,30155.1,31811,33604.3
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",239682.7,243400.4,252262.6,265921.2,277995.3,291910.1,310193.2,314505.3,313937.8,328480.5,339856.9,355584.7,364803.6,380768.8,407675.1,419783.3,438683.9
14500,"Boulder, CO (Metropolitan Statistical Area)",15634.8,14040.2,14507.5,15271.9,15894.2,16329.2,17506.6,17775.3,18220.2,19064,19760.4,20668.3,20969.3,22362.8,23508.4,24177.6,25274.1
14540,"Bowling Green, KY (Metropolitan Statistical Area)",3662.8,3869.4,4063,4291.2,4678.4,4953.3,5095.9,5214.4,5001.9,5360.8,5572.7,5955.1,6284.3,6471.8,6758,7042.2,7267.2
14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",6303,7014.2,7486.5,7786.3,8182.4,8536.5,8761.9,9023.5,9335,9533.5,9483.7,9456.1,9448.1,10003.3,10364.2,11008.4,11474.1
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",62199.9,62606.5,64908.5,68969.7,74407.2,77904.8,86986.1,88721.3,83664.4,85354,85400.7,90440.8,92545.2,95656.3,96895.7,99282.1,98256.4
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",5546.1,5859.1,6109.5,6392.6,6780.6,7181.2,7464.2,7778.3,8082.9,8510.4,8816.1,9148.9,9365.6,9650.4,9896.7,10103.8,10196.8
15260,"Brunswick, GA (Metropolitan Statistical Area)",2435.8,2587.8,2828.2,3127,3391.7,3645.2,3668.7,3568.3,3530.5,3543.8,3499.8,3435.1,3504.3,3572.4,3805.2,3946.7,4044.7
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",35727.7,37988.1,39197.9,40996.6,42408.7,44372.7,45002.7,45638.7,47418.2,49108.2,50507.4,51595.8,52473.8,54409.7,56814.5,58854.9,60014.3
15500,"Burlington, NC (Metropolitan Statistical Area)",3666.7,3826.4,3753.8,3982,4117.4,4332.4,4335.2,4342.6,4199.4,4390.8,4637.9,4912.2,4891.7,4884,4961.5,5252.1,5441.4
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",7750.7,8047.4,8700.3,9157.3,9554,9962.2,10071.9,10289.8,10599,11220.7,11744.1,12203.6,12336.9,12696.2,13141.7,13729.1,14140.2
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",2984.6,3272,3622.3,3837.3,3947,4263.3,4517.7,4616.3,4928.6,5380.6,5686.2,5706.7,5822.8,5952.1,6151.9,6316.8,6455.8
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",11324.8,11647.7,11963.6,12535.5,12922.5,12864.9,13182.2,13360.9,12548.6,12995.4,13859.7,14713.3,15987.3,16895.9,16839.7,16175.2,16771.3
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",13442,14751.4,16351,19379.5,21492,23762.6,23600.4,22575.6,22200.6,21595.9,20723.1,21260.8,21857.9,23596.4,25820.5,27055.4,27952.9
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",2533.8,2664.2,2832.9,3100.5,3276.4,3366.6,3630.7,3508.8,3533,3651.6,3621.7,3736.9,3884.5,4005.1,4186.2,4279.2,4315.1
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",2883.3,3074.4,3184.5,3328.8,3533.8,3774.7,3872.9,4060.3,4267.8,4467,4605.9,4954,4781.9,4855.1,4966.8,5094.1,5287.6
16180,"Carson City, NV (Metropolitan Statistical Area)",2218.8,2338.6,2461.7,2609.3,2760.2,2870.4,3133.5,3040.3,3135.3,3276.6,3022.5,3412.8,3218.6,3304.6,3050.7,3297.7,3545
16220,"Casper, WY (Metropolitan Statistical Area)",2591.7,2698.5,3047.6,3476.4,4319.7,5563.3,6046.8,8423.3,5772.9,5928.5,6315.3,6637.6,6754.6,7229.8,6500.8,5721,6293.9
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",9724.4,9462.8,10277,11214.5,11830.1,11666.5,13154,12806.7,14881,15275.3,15961.6,16185.1,16395.5,16987.6,18139.3,18670.4,18464.3
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",2912.9,3007.7,3252.3,3617.9,3942.6,4189,4336.6,4429.6,4243.7,4388.2,4520.2,4593.6,4948.4,5119.5,5230,5317.8,5545.3
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",6617.9,7000.5,7320.5,7634.2,7797.5,8234.6,8641.3,9343.5,9889,10334.2,10422.5,10979.5,11096.2,11333.8,11677.3,11956.9,12177.5
16620,"Charleston, WV (Metropolitan Statistical Area)",8839.2,9123.5,9257.8,9817.8,10491.8,11169.8,11660.8,12390.6,13067.8,13604.9,13961.3,13697.8,13231,12540.7,12731.8,12393.5,12817.1
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",17389.3,18968.3,20491.2,21622.9,23516.8,24884.2,27010.6,27222.3,26924.7,28124.6,30275.3,31555.8,32720.1,34749.8,36979.7,39499.5,42003.8
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",81150.1,86696.6,90295.3,95465.2,106755.8,117692.1,117393.6,126620.9,117224.6,117071,125326.2,131934,136399,143367.1,155592.4,165366.7,174029.1
16820,"Charlottesville, VA (Metropolitan Statistical Area)",6320.8,6763.4,7096.7,7664.4,8406.1,8893.2,9265.1,9518.3,9754.3,10201.4,10438.8,10958.4,11115.7,11797.9,12567.5,12915.6,13414.2
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",15756.9,16128.2,16748.9,17613.8,18453.4,19668,20617.6,21112.3,20379.1,21129.9,21743.8,22882.9,23143.5,23582,24965.4,25949.1,27071
16940,"Cheyenne, WY (Metropolitan Statistical Area)",2697.6,2878.2,3148.4,3478,3809.6,4411.6,4769.9,5445.6,4576.3,4819.3,5279.8,5357.5,5533.4,5486.8,5675.9,5649.1,5754.4
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",414434.9,423185.6,436293.3,460632.2,486302,513060.6,534764.5,528040.3,516755.6,529003.7,547625.6,578015.6,585947.7,608805,639032.8,657588.7,679699.1
17020,"Chico, CA (Metropolitan Statistical Area)",4753.9,5068.1,5272,5565.8,5791.2,6000,6276.6,6421.8,6476.3,6583.6,6608.5,6513.1,7048.2,7042.8,7558.3,7882.1,8167.7
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",79135.9,82616.6,85024.4,89658.3,95332.3,98234.1,101308.3,102007.5,101954.8,107066.4,111659.3,115419.9,120413.2,123355.7,127587.5,132587.6,138033.6
